trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 0.9999995000000417}",20,0,-111.34240990253414,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.85, 'e': 0.9999980000006666}",20,0,-118.12183203460317,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.85, 'e': 0.999995500003375}",20,0,-170.92670000329372,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.85, 'e': 0.9999920000106667}",25,0,-54.8218426848767,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.85, 'e': 0.9999875000260416}",30,0,-99.61217293219339,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.85, 'e': 0.999982000054}",30,0,-193.0389804483467,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.85, 'e': 0.9999755001000415}",20,0,-188.9818638864857,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 3}",0
8,False,"{'a': 0.85, 'e': 0.9999680001706663}",25,0,-86.17366605645967,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.85, 'e': 0.9999595002733742}",20,0,-89.666192759062,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.85, 'e': 0.9999500004166653}",25,0,-128.6527541608649,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.85, 'e': 0.9999395006100392}",20,0,-115.96532023636514,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.85, 'e': 0.9999280008639958}",35,0,-227.75110514041592,"{0: 20, 1: 2, 2: 8, 3: 2, 4: 3}",0
13,False,"{'a': 0.85, 'e': 0.9999155011900349}",20,0,-81.07065912739026,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.85, 'e': 0.9999020016006562}",30,0,-134.57417878553747,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.85, 'e': 0.9998875021093592}",25,0,-110.33323604308531,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.85, 'e': 0.9998720027306434}",20,0,-115.57919306730196,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.85, 'e': 0.9998555034800082}",30,0,-244.25545729052152,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
18,False,"{'a': 0.85, 'e': 0.9998380043739528}",20,3,-85.19629197834143,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
19,False,"{'a': 0.85, 'e': 0.9998195054299763}",20,0,-157.8486470422366,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.85, 'e': 0.9998000066665778}",20,0,-126.50652483249165,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.85, 'e': 0.9997795081032559}",20,0,-115.73243275255172,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 0.85, 'e': 0.9997580097605092}",25,0,-129.82482247205314,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
23,False,"{'a': 0.85, 'e': 0.9997355116598361}",30,0,-153.3267426187652,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
24,False,"{'a': 0.85, 'e': 0.9997120138237345}",30,4,-172.40173608563012,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 2}",1
25,False,"{'a': 0.85, 'e': 0.9996875162757026}",30,0,-217.58945908236467,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
26,False,"{'a': 0.85, 'e': 0.9996620190402377}",25,0,-216.03903086678926,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
27,False,"{'a': 0.85, 'e': 0.9996355221428369}",25,0,-69.94807584506798,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.85, 'e': 0.9996080256099974}",20,0,-105.4934969975802,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.85, 'e': 0.9995795294692156}",20,0,-84.82513377880476,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.85, 'e': 0.9995500337489875}",20,0,-166.55677609141733,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.85, 'e': 0.999519538478809}",30,0,-215.36106527773399,"{0: 19, 1: 3, 2: 2, 3: 2, 4: 4}",0
32,False,"{'a': 0.85, 'e': 0.9994880436891754}",25,0,-126.65697221870826,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.85, 'e': 0.9994555494115813}",20,0,-77.46801801518954,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
34,False,"{'a': 0.85, 'e': 0.9994220556785212}",20,0,-183.8305245735788,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",1
35,False,"{'a': 0.85, 'e': 0.9993875625234886}",30,0,-135.411064547398,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
36,False,"{'a': 0.85, 'e': 0.9993520699809768}",20,0,-51.264334066003386,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.85, 'e': 0.9993155780864782}",20,13,-19.060134528711625,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.85, 'e': 0.9992780868764849}",20,0,-141.1206697201159,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.85, 'e': 0.999239596388488}",20,0,-11.88405698792927,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.85, 'e': 0.9992001066609779}",25,0,-94.58391122142235,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
41,False,"{'a': 0.85, 'e': 0.9991596177334445}",20,0,-99.70253536061904,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
