trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-29,-233.78530337117908,"{0: 28, 1: 5, 2: 9, 3: 6, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-44,-210.17010083011198,"{0: 43, 1: 4, 2: 13, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,13,-31.1970803557104,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,-33,-152.66413736084402,"{0: 32, 1: 7, 2: 12, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-668.7851818601227,"{0: 69, 1: 11, 2: 26, 3: 5, 4: 9}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-478.4380513654897,"{0: 80, 1: 6, 2: 24, 3: 4, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,16,-40.94105819577469,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,12,-9.325637957053885,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,-76,-449.0129400989933,"{0: 58, 1: 11, 2: 18, 3: 3, 4: 6}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-421.5544905626739,"{0: 82, 1: 7, 2: 22, 3: 3, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,-100,-568.4244326048102,"{0: 80, 1: 9, 2: 30, 3: 5, 4: 6}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-22,-162.96211551905427,"{0: 31, 1: 2, 2: 4, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-12,-23.199326325323497,"{0: 25, 1: 1, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-787.9347310252052,"{0: 75, 1: 7, 2: 19, 3: 4, 4: 15}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-80,-314.6369969760125,"{0: 67, 1: 13, 2: 21, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-100,-577.4396208665248,"{0: 81, 1: 9, 2: 21, 3: 6, 4: 8}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-13,-282.84603354092155,"{0: 20, 1: 3, 2: 16, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,2,-52.93477742452269,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-603.5361935153992,"{0: 73, 1: 13, 2: 25, 3: 8, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-636.2524028684117,"{0: 72, 1: 18, 2: 21, 3: 6, 4: 8}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-3,-94.09961943397872,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-3,-144.55704440720103,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,16,-47.4818416699974,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,-38,-272.9364439438741,"{0: 34, 1: 6, 2: 12, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-546.1460622111423,"{0: 70, 1: 14, 2: 33, 3: 4, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-100,-619.5137168302123,"{0: 79, 1: 7, 2: 26, 3: 4, 4: 9}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-850.272802658216,"{0: 71, 1: 12, 2: 18, 3: 3, 4: 16}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-6,-226.28990275007638,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-13,-143.75062651814088,"{0: 28, 1: 5, 2: 7, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-567.1620661053023,"{0: 78, 1: 13, 2: 21, 3: 5, 4: 8}",0
